x-axis,1,2,F1
second,Volt,Ampere,Watt
+215.55000E-03,-562.81408310E+00,-683.41708E-03,+384.42993164E+00
+215.57500E-03,-555.02513820E+00,-683.41708E-03,+384.42993164E+00
+215.60000E-03,-554.77388191E+00,-683.41708E-03,+378.93676758E+00
+215.62500E-03,-554.77388191E+00,-683.41708E-03,+401.21459961E+00
+215.65000E-03,-548.49247474E+00,-714.82411E-03,+401.21459961E+00
+215.67500E-03,-546.73368073E+00,-723.61808E-03,+401.21459961E+00
+215.70000E-03,-552.51257533E+00,-723.61808E-03,+423.55346680E+00
+215.72500E-03,-550.50252503E+00,-744.97487E-03,+420.27854920E+00
+215.75000E-03,-546.73368073E+00,-755.02512E-03,+417.38891602E+00
+215.77500E-03,-546.73368073E+00,-763.81909E-03,+439.36157227E+00
+215.80000E-03,-538.69347954E+00,-763.81909E-03,+439.36157227E+00
+215.82500E-03,-538.69347954E+00,-804.02009E-03,+436.32888794E+00
+215.85000E-03,-538.69347954E+00,-804.02009E-03,+434.30709839E+00
+215.87500E-03,-538.44222325E+00,-844.22110E-03,+454.55932617E+00
+215.90000E-03,-532.91458493E+00,-844.22110E-03,+454.55932617E+00
+215.92500E-03,-530.65327835E+00,-863.06532E-03,+464.68734742E+00
+215.95000E-03,-530.65327835E+00,-884.42210E-03,+470.63446045E+00
+215.97500E-03,-530.65327835E+00,-884.42210E-03,+489.72129822E+00
+216.00000E-03,-528.39197177E+00,-924.62311E-03,+490.38696289E+00
+216.02500E-03,-522.61307716E+00,-924.62311E-03,+490.38696289E+00
+216.05000E-03,-524.37187117E+00,-924.62311E-03,+505.44738769E+00
+216.07500E-03,-522.61307716E+00,-924.62311E-03,+511.50703430E+00
+216.10000E-03,-520.35177058E+00,-964.82411E-03,+503.99780273E+00
+216.12500E-03,-514.57287598E+00,-964.82411E-03,+515.15197753E+00
+216.15000E-03,-514.57287598E+00,-1.00502511E+00,+524.99389648E+00
+216.17500E-03,-514.57287598E+00,-1.00502511E+00,+516.87622070E+00
+216.20000E-03,-514.57287598E+00,-1.00502511E+00,+531.74781800E+00
+216.22500E-03,-506.53267479E+00,-1.04522612E+00,+537.56713867E+00
+216.25000E-03,-506.53267479E+00,-1.03643215E+00,+530.98678589E+00
+216.27500E-03,-506.53267479E+00,-1.04522612E+00,+549.53002930E+00
+216.30000E-03,-506.53267479E+00,-1.08542712E+00,+549.53002930E+00
+216.32500E-03,-502.26131791E+00,-1.08542712E+00,+559.05723572E+00
+216.35000E-03,-498.49247360E+00,-1.12562813E+00,+560.82153320E+00
+216.37500E-03,-498.49247360E+00,-1.12562813E+00,+560.82153320E+00
+216.40000E-03,-498.49247360E+00,-1.12562813E+00,+566.45202636E+00
+216.42500E-03,-498.49247360E+00,-1.14698491E+00,+580.84106445E+00
+216.45000E-03,-490.45227242E+00,-1.16582913E+00,+586.90452575E+00
+216.47500E-03,-490.45227242E+00,-1.20603014E+00,+591.21704102E+00
+216.50000E-03,-482.41207123E+00,-1.20603014E+00,+591.21704102E+00
+216.52500E-03,-486.68342811E+00,-1.22738692E+00,+610.93139648E+00
+216.55000E-03,-482.41207123E+00,-1.24623114E+00,+600.86059570E+00
+216.57500E-03,-474.62312633E+00,-1.24497486E+00,+600.86059570E+00
+216.60000E-03,-482.41207123E+00,-1.27512561E+00,+620.26977539E+00
+216.62500E-03,-474.37187004E+00,-1.28643215E+00,+614.78996277E+00
+216.65000E-03,-474.37187004E+00,-1.32663315E+00,+628.99780273E+00
+216.67500E-03,-474.12061376E+00,-1.32663315E+00,+628.99780273E+00
+216.70000E-03,-466.33166885E+00,-1.32663315E+00,+634.78851319E+00
+216.72500E-03,-466.33166885E+00,-1.36683416E+00,+642.89093017E+00
+216.75000E-03,-460.05026168E+00,-1.37562813E+00,+641.15333558E+00
+216.77500E-03,-458.54272395E+00,-1.40703516E+00,+655.79223633E+00
+216.80000E-03,-458.29146767E+00,-1.40703516E+00,+652.61650086E+00
+216.82500E-03,-454.02011079E+00,-1.44723617E+00,+662.93334961E+00
+216.85000E-03,-458.29146767E+00,-1.44723617E+00,+662.93334961E+00
+216.87500E-03,-450.25126648E+00,-1.48743717E+00,+681.30493164E+00
+216.90000E-03,-450.25126648E+00,-1.48743717E+00,+681.30493164E+00
+216.92500E-03,-442.21106529E+00,-1.50879395E+00,+687.46948242E+00
+216.95000E-03,-448.49247247E+00,-1.52763817E+00,+687.46948242E+00
+216.97500E-03,-442.21106529E+00,-1.52763817E+00,+692.96264648E+00
+217.00000E-03,-439.94975871E+00,-1.56783918E+00,+692.96264648E+00
+217.02500E-03,-442.21106529E+00,-1.58668340E+00,+710.72387695E+00
+217.05000E-03,-440.45227128E+00,-1.60804018E+00,+697.78442383E+00
+217.07500E-03,-434.17086411E+00,-1.64698491E+00,+714.69497681E+00
+217.10000E-03,-431.90955752E+00,-1.64824119E+00,+715.24047852E+00
+217.12500E-03,-429.89950723E+00,-1.64824119E+00,+723.42300416E+00
+217.15000E-03,-426.13066292E+00,-1.68844219E+00,+722.11074830E+00
+217.17500E-03,-426.13066292E+00,-1.68844219E+00,+736.23657227E+00
+217.20000E-03,-423.86935634E+00,-1.72864320E+00,+736.23657227E+00
+217.22500E-03,-418.09046173E+00,-1.72864320E+00,+729.74205017E+00
+217.25000E-03,-418.09046173E+00,-1.76884420E+00,+739.16625977E+00
+217.27500E-03,-417.83920545E+00,-1.76884420E+00,+739.69078063E+00
+217.30000E-03,-410.05026054E+00,-1.78015073E+00,+755.95092773E+00
+217.32500E-03,-410.05026054E+00,-1.80904521E+00,+757.90405273E+00
+217.35000E-03,-410.05026054E+00,-1.84924621E+00,+757.90405273E+00
+217.37500E-03,-402.01005936E+00,-1.84924621E+00,+759.14573669E+00
+217.40000E-03,-396.23116475E+00,-1.88944722E+00,+759.18579102E+00
+217.42500E-03,-398.24121505E+00,-1.88944722E+00,+775.36010742E+00
+217.45000E-03,-393.96985817E+00,-1.92964822E+00,+775.36010742E+00
+217.47500E-03,-386.18091327E+00,-1.92964822E+00,+775.66528320E+00
+217.50000E-03,-391.70855159E+00,-1.96984923E+00,+775.66528320E+00
+217.52500E-03,-385.92965698E+00,-1.99120601E+00,+775.36010742E+00
+217.55000E-03,-384.17086297E+00,-2.01005023E+00,+778.75137330E+00
+217.57500E-03,-377.63819951E+00,-2.04899495E+00,+774.38354492E+00
+217.60000E-03,-375.62814921E+00,-2.05025123E+00,+774.38354492E+00
+217.62500E-03,-369.84925461E+00,-2.07160802E+00,+772.73559570E+00
+217.65000E-03,-369.84925461E+00,-2.12185927E+00,+784.37042236E+00
+217.67500E-03,-354.02010852E+00,-2.09170852E+00,+770.47729492E+00
+217.70000E-03,-353.76885223E+00,-2.13065324E+00,+767.60864258E+00
+217.72500E-03,-353.76885223E+00,-2.15201003E+00,+767.60864258E+00
+217.75000E-03,-345.72865105E+00,-2.21105525E+00,+764.00756836E+00
+217.77500E-03,-337.93970614E+00,-2.21105525E+00,+764.00756836E+00
+217.80000E-03,-331.90955525E+00,-2.23994972E+00,+759.85717773E+00
+217.82500E-03,-329.64824867E+00,-2.25125626E+00,+773.40698242E+00
+217.85000E-03,-321.60804749E+00,-2.29145726E+00,+754.97436523E+00
+217.87500E-03,-321.60804749E+00,-2.29145726E+00,+736.54174805E+00
+217.90000E-03,-319.34674091E+00,-2.33165827E+00,+749.48120117E+00
+217.92500E-03,-305.52764511E+00,-2.33165827E+00,+736.66572571E+00
+217.95000E-03,-299.24623794E+00,-2.37185927E+00,+724.27368164E+00
+217.97500E-03,-297.48744392E+00,-2.37185927E+00,+717.79823302E+00
+218.00000E-03,-291.70854932E+00,-2.41206028E+00,+717.19360352E+00
+218.02500E-03,-285.67839843E+00,-2.41206028E+00,+709.44213867E+00
+218.05000E-03,-281.40704155E+00,-2.45226128E+00,+709.44213867E+00
+218.07500E-03,-281.15578527E+00,-2.49246228E+00,+701.01928711E+00
+218.10000E-03,-279.14573497E+00,-2.49246228E+00,+688.89617920E+00
+218.12500E-03,-269.09548349E+00,-2.53266329E+00,+691.98608398E+00
+218.15000E-03,-265.32663918E+00,-2.57286429E+00,+686.80763246E+00
+218.17500E-03,-257.53769427E+00,-2.57286429E+00,+682.28149414E+00
+218.20000E-03,-257.28643799E+00,-2.60175877E+00,+671.96655273E+00
+218.22500E-03,-257.28643799E+00,-2.61306530E+00,+682.28149414E+00
+218.25000E-03,-249.24623680E+00,-2.65326630E+00,+660.98022461E+00
+218.27500E-03,-241.45729190E+00,-2.69221103E+00,+670.98999023E+00
+218.30000E-03,-238.94472903E+00,-2.69346731E+00,+652.05192565E+00
