x-axis,F1
Hertz,decibel
+77.7500E+00,-79.63251E+00
+78.0000E+00,-81.66023E+00
+78.2500E+00,-76.83156E+00
+78.5000E+00,-76.91966E+00
+78.7500E+00,-83.10139E+00
+79.0000E+00,-79.33312E+00
+79.2500E+00,-78.27713E+00
+79.5000E+00,-83.08673E+00
+79.7500E+00,-84.07987E+00
+80.0000E+00,-75.87206E+00
+80.2500E+00,-79.38789E+00
+80.5000E+00,-76.87414E+00
+80.7500E+00,-76.15695E+00
+81.0000E+00,-79.96063E+00
+81.2500E+00,-79.51142E+00
+81.5000E+00,-80.38936E+00
+81.7500E+00,-96.39920E+00
+82.0000E+00,-82.63276E+00
+82.2500E+00,-78.54515E+00
+82.5000E+00,-94.99186E+00
+82.7500E+00,-93.08858E+00
+83.0000E+00,-83.35357E+00
+83.2500E+00,-84.27426E+00
+83.5000E+00,-80.10409E+00
+83.7500E+00,-82.18328E+00
+84.0000E+00,-83.87329E+00
+84.2500E+00,-82.65111E+00
+84.5000E+00,-79.00148E+00
+84.7500E+00,-84.78878E+00
+85.0000E+00,-81.05800E+00
+85.2500E+00,-89.92289E+00
+85.5000E+00,-84.23815E+00
+85.7500E+00,-87.58685E+00
+86.0000E+00,-85.27774E+00
+86.2500E+00,-83.96506E+00
+86.5000E+00,-88.59187E+00
+86.7500E+00,-80.31705E+00
+87.0000E+00,-84.23524E+00
+87.2500E+00,-78.90391E+00
+87.5000E+00,-76.63396E+00
+87.7500E+00,-83.39507E+00
+88.0000E+00,-89.20786E+00
+88.2500E+00,-79.28331E+00
+88.5000E+00,-82.02337E+00
+88.7500E+00,-86.52304E+00
+89.0000E+00,-84.71752E+00
+89.2500E+00,-86.94916E+00
+89.5000E+00,-79.83376E+00
+89.7500E+00,-84.39871E+00
+90.0000E+00,-87.10151E+00
+90.2500E+00,-83.16299E+00
+90.5000E+00,-88.41264E+00
+90.7500E+00,-82.95306E+00
+91.0000E+00,-88.80476E+00
+91.2500E+00,-76.98680E+00
+91.5000E+00,-79.37958E+00
+91.7500E+00,-81.46237E+00
+92.0000E+00,-79.02447E+00
+92.2500E+00,-81.33025E+00
+92.5000E+00,-82.45029E+00
+92.7500E+00,-79.61265E+00
+93.0000E+00,-82.61174E+00
+93.2500E+00,-94.22636E+00
+93.5000E+00,-83.84267E+00
+93.7500E+00,-83.31821E+00
+94.0000E+00,-81.36606E+00
+94.2500E+00,-90.08410E+00
+94.5000E+00,-82.90467E+00
+94.7500E+00,-74.72388E+00
+95.0000E+00,-72.36663E+00
+95.2500E+00,-75.18531E+00
+95.5000E+00,-78.70427E+00
+95.7500E+00,-75.53461E+00
+96.0000E+00,-80.20731E+00
+96.2500E+00,-81.91468E+00
+96.5000E+00,-78.05396E+00
+96.7500E+00,-73.69288E+00
+97.0000E+00,-76.58525E+00
+97.2500E+00,-76.14368E+00
+97.5000E+00,-83.92298E+00
+97.7500E+00,-79.15730E+00
+98.0000E+00,-73.39324E+00
+98.2500E+00,-72.61982E+00
+98.5000E+00,-73.69329E+00
+98.7500E+00,-80.00522E+00
+99.0000E+00,-74.02866E+00
+99.2500E+00,-63.48388E+00
+99.5000E+00,-66.64507E+00
+99.7500E+00,-56.56627E+00
+100.0000E+00,-49.19712E+00
+100.2500E+00,-60.89506E+00
+100.5000E+00,-64.72576E+00
+100.7500E+00,-67.25182E+00
+101.0000E+00,-77.00753E+00
+101.2500E+00,-80.94831E+00
+101.5000E+00,-83.85306E+00
+101.7500E+00,-86.77975E+00
+102.0000E+00,-76.57584E+00
+102.2500E+00,-77.08703E+00
+102.5000E+00,-91.88903E+00
+102.7500E+00,-76.73025E+00
+103.0000E+00,-86.10904E+00
+103.2500E+00,-84.29300E+00
+103.5000E+00,-84.99332E+00
+103.7500E+00,-90.61740E+00
+104.0000E+00,-70.79527E+00
+104.2500E+00,-65.98521E+00
+104.5000E+00,-70.39886E+00
+104.7500E+00,-73.51860E+00
+105.0000E+00,-80.19092E+00
+105.2500E+00,-82.14957E+00
+105.5000E+00,-80.71450E+00
+105.7500E+00,-83.08600E+00
